"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster"
"165",702,"Point",3,"Rendah",0.203141,0.114633,0.090025,0.07676,0.047391,0.358336,0.172225,0.070868,0.001773,1
"166",629,"Point",3,"Rendah",0.204463,0.117605,0.095932,0.081432,0.070022,0.26223,0.204871,0.118669,0.001746,1
"167",342,"Point",3,"Rendah",0.205666,0.119776,0.095156,0.079903,0.058643,0.311399,0.190127,0.089678,0.00181,1
"168",610,"Point",3,"Rendah",0.206555,0.116599,0.094043,0.080137,0.059316,0.338231,0.218288,0.106412,0.001901,1
"169",537,"Point",3,"Rendah",0.209097,0.114007,0.090241,0.076017,0.050913,0.323303,0.174104,0.078833,0.001618,1
"170",753,"Point",3,"Rendah",0.20938,0.120866,0.098588,0.08296,0.07212,0.261268,0.209056,0.122501,0.001766,1
"171",682,"Point",3,"Rendah",0.209723,0.115232,0.090789,0.076997,0.059014,0.309274,0.169353,0.084749,0.000939,1
"172",692,"Point",3,"Rendah",0.210426,0.114029,0.090229,0.07835,0.050749,0.363192,0.18556,0.082746,0.002308,1
"173",921,"Point",3,"Rendah",0.213151,0.110553,0.086373,0.070771,0.044202,0.339227,0.160369,0.06739,0.001517,1
"174",792,"Point",3,"Rendah",0.213916,0.108636,0.083919,0.068498,0.045234,0.288159,0.137776,0.059685,0.001796,1
"175",300,"Point",3,"Rendah",0.21526,0.120077,0.094809,0.076653,0.050916,0.302447,0.171741,0.077211,0.002621,1
"176",752,"Point",3,"Rendah",0.218067,0.118139,0.096553,0.083233,0.069095,0.297404,0.198359,0.110406,0.001937,1
"177",829,"Point",3,"Rendah",0.218854,0.11067,0.087047,0.072895,0.050389,0.3045,0.161899,0.077011,0.001736,1
"178",925,"Point",3,"Rendah",0.221563,0.108311,0.083424,0.067406,0.039104,0.336986,0.148257,0.059242,0.001488,1
"179",842,"Point",3,"Rendah",0.221596,0.114204,0.091742,0.080565,0.061443,0.299308,0.180442,0.094535,0.001632,1
"180",339,"Point",3,"Rendah",0.222757,0.117103,0.092346,0.075742,0.049219,0.347664,0.17699,0.074372,0.002039,1
"181",536,"Point",3,"Rendah",0.223124,0.11232,0.088114,0.073146,0.044897,0.31721,0.166506,0.071292,0.001666,1
"182",764,"Point",3,"Rendah",0.223883,0.118039,0.09563,0.082143,0.066431,0.29098,0.198886,0.110801,0.001432,1
"183",664,"Point",3,"Rendah",0.231117,0.114343,0.089569,0.077077,0.046016,0.389985,0.172552,0.069841,0.001837,1
"184",570,"Point",3,"Rendah",0.23271,0.116128,0.092527,0.077618,0.057477,0.305015,0.181297,0.091847,0.001862,1
"185",699,"Point",3,"Rendah",0.233634,0.1141,0.089967,0.078281,0.046607,0.380751,0.179531,0.070846,0.001805,1
"186",757,"Point",3,"Rendah",0.233918,0.11529,0.09084,0.073315,0.055525,0.309912,0.182659,0.098347,0.001781,1
"187",703,"Point",3,"Rendah",0.236856,0.114851,0.090146,0.077482,0.046833,0.38437,0.179413,0.072653,0.001866,1
"188",924,"Point",3,"Rendah",0.237982,0.109619,0.084744,0.069739,0.041729,0.352051,0.157821,0.064014,0.001343,1
"189",726,"Point",3,"Rendah",0.240343,0.120151,0.099206,0.09042,0.085543,0.257927,0.206752,0.122401,0.002319,1
"190",646,"Point",3,"Rendah",0.243521,0.113369,0.089402,0.077013,0.046229,0.39122,0.17585,0.071804,0.001808,1
"191",533,"Point",3,"Rendah",0.24454,0.115262,0.091514,0.080685,0.053849,0.33416,0.187793,0.086681,0.001684,1
"192",795,"Point",3,"Rendah",0.247639,0.109945,0.085764,0.071101,0.046875,0.30976,0.154796,0.069092,0.001774,1
"193",465,"Point",3,"Rendah",0.248239,0.12053,0.097219,0.081481,0.05997,0.286265,0.158684,0.086134,0.002117,1
"194",281,"Point",3,"Rendah",0.249433,0.115402,0.090254,0.072049,0.043544,0.323193,0.156676,0.063739,0.001833,1
"195",939,"Point",3,"Rendah",0.259097,0.108842,0.084424,0.071054,0.040694,0.352953,0.155547,0.061559,0.001496,1
"196",647,"Point",3,"Rendah",0.260093,0.113684,0.08809,0.071108,0.044551,0.343641,0.167696,0.071818,0.001615,1
"197",666,"Point",3,"Rendah",0.262167,0.114318,0.089862,0.076939,0.04666,0.395943,0.172977,0.068906,0.001648,1
"198",851,"Point",3,"Rendah",0.262462,0.110737,0.086726,0.069848,0.046324,0.289331,0.129749,0.05978,0.001554,1
